assetId,assetTypeId
01FS5J6PC3B9JHJ57XG0DMJ57B,01FX34K9DDZXE2TC4XX09HY08Z
01FS5JBK7SAV50CEV16F2H3NKA,01FX34K9DDZXE2TC4XX09HY08Z
01FS5JHJ5PCF4DTZBA3PMAB6XM,01FX34K9DDZXE2TC4XX09HY08Z
01FS5JHJ5QAXHCZ448AXF6A25A,01FX34K9DDZXE2TC4XX09HY08Z
01FS5JHJ5QN2VK8YWJY3TMBM6V,01FX34K9DDZXE2TC4XX09HY08Z
01FS5JHJ5QR76YWMYSSBF9GK8W,01FX34K9DDZXE2TC4XX09HY08Z
01FS5JK5MPK6QACT1SCCY1YA28,01FX34K9DDZXE2TC4XX09HY08Z
01FS5JK5MQT0RJ9BY1NC4B5GRF,01FX34K9DDZXE2TC4XX09HY08Z
01FS5JK5MQYYKSK83FVSXSJP7Y,01FX34K9DDZXE2TC4XX09HY08Z
01FS5K4XXE4KW3FM6NHEQRH430,01FX34K9DDZXE2TC4XX09HY08Z
01FS5K8HKD9FK3CP0C3ASH2FK2,01FX34K9DDZXE2TC4XX09HY08Z
01FS5K8HKDNPX8WZPB0P1T6KCP,01FX34K9DDZXE2TC4XX09HY08Z
01FS5K8HKDYEPXC7R4WBJH58Y9,01FX34K9DDZXE2TC4XX09HY08Z
01FS5KF8GQ4SVWFQN0M982JBB6,01FX34K9DDZXE2TC4XX09HY08Z
01FS5KHAW19RQHTVV79JNS5946,01FX34K9DDZXE2TC4XX09HY08Z
01FS6ZWR72MMV205DYMF7Q37NN,01FX34K9DDZXE2TC4XX09HY08Z
01FS6ZWR73CYDABJDC13NFMPBY,01FX34K9DDZXE2TC4XX09HY08Z
01FS6ZWR73MYRQYC0K8NAM93WY,01FX34K9DDZXE2TC4XX09HY08Z
01FS6ZWR74XTRDAKETCEGH9RFN,01FX34K9DDZXE2TC4XX09HY08Z
01FS75NA0F38N544R4D2WZ6AKC,01FX34K9DDZXE2TC4XX09HY08Z
01FS75NA0FXGHMR3M2G0MBMBPV,01FX34K9DDZXE2TC4XX09HY08Z
01FS75S1KRX972J1E9PVXX5VSX,01FX34K9DDZXE2TC4XX09HY08Z
01FS75S1KS7K58MW3PBRE3B29R,01FX34K9DDZXE2TC4XX09HY08Z
01FS77KNE0FA64A2NZ6BYEVX94,01FX34K9DDZXE2TC4XX09HY08Z
01FS77KNE0Y1WZ796GHSJSC969,01FX34K9DDZXE2TC4XX09HY08Z
01FS77M0DXR11DCZTW1GGMX0KH,01FX34K9DDZXE2TC4XX09HY08Z
01FS77N30WRSX6DRZKNSRBVMDE,01FX34K9DDZXE2TC4XX09HY08Z
01FS77NN0AVEFAD7NZ751YFR2N,01FX34K9DDZXE2TC4XX09HY08Z
01FS782JB0H9PZVP8Y8PXG2BP4,01FX34K9DDZXE2TC4XX09HY08Z
01FS78381DHSTYXM30E1SXKSP7,01FX34K9DDZXE2TC4XX09HY08Z
01FS7859XFW69J8RCEWP47ZV8B,01FX34K9DDZXE2TC4XX09HY08Z
01FS7893G64RCGMYE14AHRZETX,01FX34K9DDZXE2TC4XX09HY08Z
01FS78P5WMZF6R11BZZ8V4XZE5,01FX34K9DDZXE2TC4XX09HY08Z
01FS7982HHPKJ3AY674K3E36X5,01FX34K9DDZXE2TC4XX09HY08Z
01FS7X657R4E9A1QJEAK7SACS0,01FX34K9DDZXE2TC4XX09HY08Z
01FS7X657RC7FSAT0SRCJKQHNE,01FX34K9DDZXE2TC4XX09HY08Z
01FS7X657RSG83VAQDB83GF4SJ,01FX34K9DDZXE2TC4XX09HY08Z
01FS9CSW4R18KZEH3VTY8T4BT7,01FX34K9DDZXE2TC4XX09HY08Z
01FS9CSW4R2XKPD3SSGM2688AC,01FX34K9DDZXE2TC4XX09HY08Z
01FS9CSW4R30XTMFZ07D4BTFXS,01FX34K9DDZXE2TC4XX09HY08Z
01FS9CSW4RB6MV5QSW59W1S0HV,01FX34K9DDZXE2TC4XX09HY08Z
01FS9CSW4RBEBK523V83VCTBEJ,01FX34K9DDZXE2TC4XX09HY08Z
01FS9CSW4RQ5EE8GE1HJ6E7SFB,01FX34K9DDZXE2TC4XX09HY08Z
01FS9CSW4RX76HRW30PH3TVD8C,01FX34K9DDZXE2TC4XX09HY08Z
01FS9CSW4S0QD31AB68109XVCP,01FX34K9DDZXE2TC4XX09HY08Z
01FS9J7RPB4FWNDZPMB4JTH2BV,01FX34K9DDZXE2TC4XX09HY08Z
