id,createdAt,updatedAt,assetId,color,coverage
01G2YQ9KGRQV0A741S6CKCAG0Q,2022-05-13 12:46:30.679693,2022-05-13 12:46:30.679693,01G1189TN7X282MZG2A1D7SMBW,Black,0.132812
01G2YQ9KGRQW5HEXBCBV38Y1KY,2022-05-13 12:46:30.666833,2022-05-13 12:46:30.666833,01G1189TN7X282MZG2A1D7SMBW,Green,0.261875
01G2YQ9KGRYBJE6RCP98SKGHDG,2022-05-13 12:46:30.672002,2022-05-13 12:46:30.672002,01G1189TN7X282MZG2A1D7SMBW,Gray,0.148594
01G2YQ9KRFXQQXYYGJ8Q4A7FEM,2022-05-13 12:46:30.902291,2022-05-13 12:46:30.902291,01G1189TN82TFBZK3M3BFVV237,Rosy Brown,0.528281
01G2YQ9KZYPJ0P23RE8W2V8JYB,2022-05-13 12:46:31.137814,2022-05-13 12:46:31.137814,01G1189TN8ZQTYWCEEZPMPHRS9,Yellow,0.558906
01G2YQ9M5MH41JK9JZTESPZ14J,2022-05-13 12:46:31.271796,2022-05-13 12:46:31.271796,01G1189TN9WS0G7P2CEG20X997,Gray,0.362656
01G2YQ9M5MWKR8BTYG241TCM1E,2022-05-13 12:46:31.276251,2022-05-13 12:46:31.276251,01G1189TN9WS0G7P2CEG20X997,Khaki,0.241094
01G2YQ9M5MZFVDDPJ82CVEBHCZ,2022-05-13 12:46:31.268029,2022-05-13 12:46:31.268029,01G1189TN9WS0G7P2CEG20X997,Green,0.156406
01G2YQ9MAM14ZTK0NA8BVBTQ8R,2022-05-13 12:46:31.525084,2022-05-13 12:46:31.525084,01G1189TNAPTC06R7CWVFZWJJ1,Green,0.213437
01G2YQ9MC8DFQVB9A4KBVTEJ68,2022-05-13 12:46:31.529458,2022-05-13 12:46:31.529458,01G1189TNAPTC06R7CWVFZWJJ1,Sienna,0.172188
01G2YQ9MC8MBNYE029NGAHWAD9,2022-05-13 12:46:31.535141,2022-05-13 12:46:31.535141,01G1189TNAPTC06R7CWVFZWJJ1,Golden Rod,0.164375
01G2YQ9MM65NQABC5XQSV6KXJ5,2022-05-13 12:46:31.711315,2022-05-13 12:46:31.711315,01G1189TNAQ6G6ARPQ59J91J26,Light Gray,0.226406
01G2YQ9MM6FYAMS0QQT1XKJG7D,2022-05-13 12:46:31.708044,2022-05-13 12:46:31.708044,01G1189TNAQ6G6ARPQ59J91J26,Green,0.114531
01G2YQ9MM6Y9AJYSBWRYDJJ74J,2022-05-13 12:46:31.716014,2022-05-13 12:46:31.716014,01G1189TNAQ6G6ARPQ59J91J26,Black,0.220938
